name_kor,name_eng,date_of_birth,url
김봉영,Bong-Young Kim ,1973-02-25,https://statiz.sporki.com/player/?m=playerinfo&p_no=1697
박재벌,Jae-Beol Park,1968-09-17,https://statiz.sporki.com/player/?m=playerinfo&p_no=1647
양승철,Seungchul Yang ,1973-04-04,https://statiz.sporki.com/player/?m=playerinfo&p_no=1692
구한성,Han-Sung Gu,1970-01-07,https://statiz.sporki.com/player/?m=playerinfo&p_no=1649
김형택,Hyung-Taek Kim ,1971-10-11,https://statiz.sporki.com/player/?m=playerinfo&p_no=1702
오명종,Myung-Jong Oh,1974-01-14,https://statiz.sporki.com/player/?m=playerinfo&p_no=1745
신경호,Kyung-Ho Shin,1972-03-07,https://statiz.sporki.com/player/?m=playerinfo&p_no=1744
이용석,Yong-Seok Lee,1970-03-20,https://statiz.sporki.com/player/?m=playerinfo&p_no=1721
이종범,Jong-Beom Lee,1970-08-15,https://statiz.sporki.com/player/?m=playerinfo&p_no=10036
정성룡,Sung-Ryong Jung,1964-05-19,https://statiz.sporki.com/player/?m=playerinfo&p_no=1214
김훈,Hoon Kim,1970-03-11,https://statiz.sporki.com/player/?m=playerinfo&p_no=1720
이대진,Dae-Jin Lee,1974-06-09,https://statiz.sporki.com/player/?m=playerinfo&p_no=10062
박진철,Jin-Chul Park ,1975-02-28,https://statiz.sporki.com/player/?m=playerinfo&p_no=1774
이재만,Jae-Man Lee,1970-07-14,https://statiz.sporki.com/player/?m=playerinfo&p_no=1779
이민호,Min-Ho Lee,1970-08-25,https://statiz.sporki.com/player/?m=playerinfo&p_no=11438
이우혁,Woo-Hyuk Lee ,1975-06-17,https://statiz.sporki.com/player/?m=playerinfo&p_no=1778
조용수,Yong-Soo Cho ,1973-06-25,https://statiz.sporki.com/player/?m=playerinfo&p_no=1780
지윤석,Yoon-Seok Ji,1974-04-03,https://statiz.sporki.com/player/?m=playerinfo&p_no=1826
유진우,Jin-Woo Yoo,1972-11-24,https://statiz.sporki.com/player/?m=playerinfo&p_no=1812
김상훈,Sang-Hoon Kim,1960-07-06,https://statiz.sporki.com/player/?m=playerinfo&p_no=1193
전성철,Sung-Chul Jeon,1969-09-07,https://statiz.sporki.com/player/?m=playerinfo&p_no=1788
송인호,In-Ho Song,1968-12-27,https://statiz.sporki.com/player/?m=playerinfo&p_no=1590
박재용,Jae-Yong Park,1969-06-16,https://statiz.sporki.com/player/?m=playerinfo&p_no=1787
김신,Shin Kim,1971-03-15,https://statiz.sporki.com/player/?m=playerinfo&p_no=1796
최해식,Hae-Sik Choi,1968-09-30,https://statiz.sporki.com/player/?m=playerinfo&p_no=1607
최희창,Hee-Chang Choi,1975-06-13,https://statiz.sporki.com/player/?m=playerinfo&p_no=1891
이호준,Ho-Jun Lee,1976-02-08,https://statiz.sporki.com/player/?m=playerinfo&p_no=10101
최재영,Jae-Young Choi ,1971-08-05,https://statiz.sporki.com/player/?m=playerinfo&p_no=1861
이병훈,Byung-Hoon Lee,1967-05-17,https://statiz.sporki.com/player/?m=playerinfo&p_no=1498
김지영,Ji-Young Kim,1974-04-21,https://statiz.sporki.com/player/?m=playerinfo&p_no=1802
배훈,Hoon Bae,1972-12-16,https://statiz.sporki.com/player/?m=playerinfo&p_no=1808
박기택,Gi-Taek Park,1968-11-10,https://statiz.sporki.com/player/?m=playerinfo&p_no=11436
김형성,Hyung-Sung Kim,1976-02-28,https://statiz.sporki.com/player/?m=playerinfo&p_no=1976
최철민,Chul-Min Choi,1972-05-03,https://statiz.sporki.com/player/?m=playerinfo&p_no=1944
이원식,Won-Sik Lee ,1972-06-15,https://statiz.sporki.com/player/?m=playerinfo&p_no=1907
임창용,Chang-Yong Lim,1976-06-04,https://statiz.sporki.com/player/?m=playerinfo&p_no=11281
이용훈,Yong-Hoon Lee ,1975-12-14,https://statiz.sporki.com/player/?m=playerinfo&p_no=1962
안상준,Sang-Jun An,1973-02-13,https://statiz.sporki.com/player/?m=playerinfo&p_no=1884
남상규,Sang-Kyu Nam,1972-10-09,https://statiz.sporki.com/player/?m=playerinfo&p_no=1877
추평호,Pyeong-Ho Choo,1973-02-08,https://statiz.sporki.com/player/?m=playerinfo&p_no=11445
장성호,Seong-Ho Jang,1977-10-18,https://statiz.sporki.com/player/?m=playerinfo&p_no=10032
김경하,Kyung-Ha Kim,1970-10-10,https://statiz.sporki.com/player/?m=playerinfo&p_no=1723
김상진,Sang-Jin Kim ,1977-03-09,https://statiz.sporki.com/player/?m=playerinfo&p_no=1950
황성기,Sung-Ki Hwang,1977-06-09,https://statiz.sporki.com/player/?m=playerinfo&p_no=1948
동봉철,Bong-chul Dong,1970-01-02,https://statiz.sporki.com/player/?m=playerinfo&p_no=1651
박철웅,Chul-Woong Park ,1970-04-15,https://statiz.sporki.com/player/?m=playerinfo&p_no=1958
김태룡,Tae-Ryong Kim,1968-02-23,https://statiz.sporki.com/player/?m=playerinfo&p_no=1661
최상덕,Sang-Deok Choi,1971-03-31,https://statiz.sporki.com/player/?m=playerinfo&p_no=10616
권오성,O-sung Kwon,1970-10-26,https://statiz.sporki.com/player/?m=playerinfo&p_no=1920
이동욱,Dong-Wook Lee,1977-08-01,https://statiz.sporki.com/player/?m=playerinfo&p_no=1986
윤형진,Hyung-Jin Yoon ,1977-09-13,https://statiz.sporki.com/player/?m=playerinfo&p_no=2153
우승진,Seung-Jin Woo ,1973-08-10,https://statiz.sporki.com/player/?m=playerinfo&p_no=1938
김종국,Jong-Guk Kim,1973-09-14,https://statiz.sporki.com/player/?m=playerinfo&p_no=10009
조현,Hyun Cho,1976-10-04,https://statiz.sporki.com/player/?m=playerinfo&p_no=1866
최훈재,Hoon-Jae Choi,1967-01-21,https://statiz.sporki.com/player/?m=playerinfo&p_no=1457
장석희,Seok-Hee Jang ,1974-05-08,https://statiz.sporki.com/player/?m=playerinfo&p_no=1992
오철민,Chul-Min Oh ,1973-05-28,https://statiz.sporki.com/player/?m=playerinfo&p_no=2010
조남기,Nam-Ki Cho,1974-05-17,https://statiz.sporki.com/player/?m=playerinfo&p_no=1995
김동호,Dong-Ho Kim ,1973-05-24,https://statiz.sporki.com/player/?m=playerinfo&p_no=2003
김창희,Chang-Hei Kim,1973-07-03,https://statiz.sporki.com/player/?m=playerinfo&p_no=10334
방수환,Soo-Hwan Bang,1975-01-17,https://statiz.sporki.com/player/?m=playerinfo&p_no=2024
이우석,Woo-Seok Lee,1975-06-12,https://statiz.sporki.com/player/?m=playerinfo&p_no=2034
곽현희,Hyun-Hee Kwak,1973-08-06,https://statiz.sporki.com/player/?m=playerinfo&p_no=2048
이병석,Byung-Seok Lee,1971-05-17,https://statiz.sporki.com/player/?m=playerinfo&p_no=1637
엄병열,Byung-Yeol Eom,1976-01-12,https://statiz.sporki.com/player/?m=playerinfo&p_no=2056
헤어,Shawn Robert Hare,1967-03-26,https://statiz.sporki.com/player/?m=playerinfo&p_no=2045
지승준,Seung-Jun Ji,1977-06-07,https://statiz.sporki.com/player/?m=playerinfo&p_no=2040
류기중,Ki-Joong Ryu ,1978-09-19,https://statiz.sporki.com/player/?m=playerinfo&p_no=2051
소소경,So-Kyung So ,1979-07-19,https://statiz.sporki.com/player/?m=playerinfo&p_no=2053
정성훈,Seong-Hun Jeong,1980-06-27,https://statiz.sporki.com/player/?m=playerinfo&p_no=10479
장일현,Il-Hyun Jang,1976-05-12,https://statiz.sporki.com/player/?m=playerinfo&p_no=2081
박계원,Gye-Won Park,1970-02-04,https://statiz.sporki.com/player/?m=playerinfo&p_no=1646
양준혁,Joon-Hyuk Yang,1969-05-26,https://statiz.sporki.com/player/?m=playerinfo&p_no=10339
김경진,Kyung-Jin Kim,1976-12-21,https://statiz.sporki.com/player/?m=playerinfo&p_no=2063
오봉옥,Bong-Ok Oh,1968-07-08,https://statiz.sporki.com/player/?m=playerinfo&p_no=1694
권명철,Myeong-Cheol Kwon,1969-10-28,https://statiz.sporki.com/player/?m=playerinfo&p_no=1695
김기환,Ki-Hwan Kim,1976-12-07,https://statiz.sporki.com/player/?m=playerinfo&p_no=2064
곽채진,Chae-Jin Kwak,1973-03-01,https://statiz.sporki.com/player/?m=playerinfo&p_no=1841
유동훈,Dong-Hun Yu,1977-02-12,https://statiz.sporki.com/player/?m=playerinfo&p_no=10060
브릭스,William Stoney Briggs,1971-12-26,https://statiz.sporki.com/player/?m=playerinfo&p_no=2071
샌더스,Tracy Jerome Sanders,1969-07-26,https://statiz.sporki.com/player/?m=playerinfo&p_no=2072
황두성,Doo-Sung Hwang,1976-11-16,https://statiz.sporki.com/player/?m=playerinfo&p_no=10457
김상현,Sang-Hyeon Kim,1980-11-12,https://statiz.sporki.com/player/?m=playerinfo&p_no=10007
최길성,Gil-Sung Choi,1978-02-06,https://statiz.sporki.com/player/?m=playerinfo&p_no=10105
양현석,Hyun-Seok Yang,1977-10-20,https://statiz.sporki.com/player/?m=playerinfo&p_no=2123
김호,Ho Kim,1967-05-03,https://statiz.sporki.com/player/?m=playerinfo&p_no=1581
김상훈,Sang-Hun Kim,1977-10-27,https://statiz.sporki.com/player/?m=playerinfo&p_no=10001
성영재,Young-Jae Sung,1971-03-09,https://statiz.sporki.com/player/?m=playerinfo&p_no=1775
강영식,Young-Sik Kang,1981-06-17,https://statiz.sporki.com/player/?m=playerinfo&p_no=10269
박충식,Chung-Sik Park ,1970-09-03,https://statiz.sporki.com/player/?m=playerinfo&p_no=1763
조홍준,Hong-Jun Cho,1977-04-27,https://statiz.sporki.com/player/?m=playerinfo&p_no=2132
홍세완,Se-Wahn Hong,1978-01-16,https://statiz.sporki.com/player/?m=playerinfo&p_no=10026
최영완,Young-Wahn Choi ,1976-05-03,https://statiz.sporki.com/player/?m=playerinfo&p_no=2159
타바레스,Jesús Rafael Tavárez Alcántaras,1971-03-26,https://statiz.sporki.com/player/?m=playerinfo&p_no=2138
포조,Arquimedez Pozo Ortiz,1973-08-24,https://statiz.sporki.com/player/?m=playerinfo&p_no=2140
배스,Jayson Andrew Bass,1974-06-22,https://statiz.sporki.com/player/?m=playerinfo&p_no=2119
미첼,Case Mitchell,1969-08-06,https://statiz.sporki.com/player/?m=playerinfo&p_no=2116
손혁,Hyuk Son,1973-08-01,https://statiz.sporki.com/player/?m=playerinfo&p_no=14564
김민철,Min-Cheol Kim,1982-03-14,https://statiz.sporki.com/player/?m=playerinfo&p_no=10006
김경언,Gyeon-Eon Kim,1982-12-07,https://statiz.sporki.com/player/?m=playerinfo&p_no=10028
정영규,Young-Kyu Jung,1970-11-03,https://statiz.sporki.com/player/?m=playerinfo&p_no=1722
김지훈,Ji-Hoon Kim,1973-09-02,https://statiz.sporki.com/player/?m=playerinfo&p_no=2065
최익성,Ik-Sung Choi,1972-02-11,https://statiz.sporki.com/player/?m=playerinfo&p_no=1828
정원,Won Jung ,1982-06-01,https://statiz.sporki.com/player/?m=playerinfo&p_no=2219
신동주,Dong-Ju Shin,1972-12-14,https://statiz.sporki.com/player/?m=playerinfo&p_no=1672
오우진,Woo-Jin Oh ,1979-01-30,https://statiz.sporki.com/player/?m=playerinfo&p_no=2181
이윤학,Yoon-Hak Lee,1982-02-25,https://statiz.sporki.com/player/?m=playerinfo&p_no=2262
리치,Lewis Richie,1966-01-25,https://statiz.sporki.com/player/?m=playerinfo&p_no=2201
산토스,Luis Manuel de los Santos Martinez,1966-12-29,https://statiz.sporki.com/player/?m=playerinfo&p_no=2174
심제훈,Je-Hoon Sim,1978-10-11,https://statiz.sporki.com/player/?m=playerinfo&p_no=2177
레스,Gary Rath,1973-01-10,https://statiz.sporki.com/player/?m=playerinfo&p_no=2196
루이스,Luis Andújar Sánchez,1972-11-22,https://statiz.sporki.com/player/?m=playerinfo&p_no=2198
가내영,Nae-Young Ga,1971-03-29,https://statiz.sporki.com/player/?m=playerinfo&p_no=1611
이동수,Dong-Soo Lee,1973-03-24,https://statiz.sporki.com/player/?m=playerinfo&p_no=1816
김주철,Ju-Chul Kim ,1982-05-05,https://statiz.sporki.com/player/?m=playerinfo&p_no=2193
안희봉,Hee-Bong An,1972-10-03,https://statiz.sporki.com/player/?m=playerinfo&p_no=2028
젠슨,Martin Janzen,1973-05-31,https://statiz.sporki.com/player/?m=playerinfo&p_no=2220
서용주,Yong-Joo Seo,1990-06-30,https://statiz.sporki.com/player/?m=playerinfo&p_no=11186
유승룡,Seung-ryong Yoo,1986-01-29,https://statiz.sporki.com/player/?m=playerinfo&p_no=10015
박정규,Jung-Kyu Park,1983-04-17,https://statiz.sporki.com/player/?m=playerinfo&p_no=10052
송산,San Song,1982-07-02,https://statiz.sporki.com/player/?m=playerinfo&p_no=10796
고우석,Woo-Suk Go,1984-11-03,https://statiz.sporki.com/player/?m=playerinfo&p_no=10042
박효일,Hyo-il Park,1990-04-18,https://statiz.sporki.com/player/?m=playerinfo&p_no=11072
박진영,Jin-Yeong Park,1985-03-27,https://statiz.sporki.com/player/?m=playerinfo&p_no=10012
박세준,Seo-Jun Park,1992-07-01,https://statiz.sporki.com/player/?m=playerinfo&p_no=10704
박서준,Seo-Jun Park,1991-09-12,https://statiz.sporki.com/player/?m=playerinfo&p_no=11259
권희석,Hei-Sug Kwon,1985-05-13,https://statiz.sporki.com/player/?m=playerinfo&p_no=10805
김종훈,Jong-Hun Kim,1989-04-18,https://statiz.sporki.com/player/?m=playerinfo&p_no=10787
유휘봉,Hwi-Bong Yoo ,1991-02-26,https://statiz.sporki.com/player/?m=playerinfo&p_no=10033
차정민,Jung-Min Cha,1982-11-23,https://statiz.sporki.com/player/?m=playerinfo&p_no=10076
차명진,Myeoung-Jin Cha,1995-03-03,https://statiz.sporki.com/player/?m=playerinfo&p_no=11263
정성철,Sung-Chul Jung,1990-04-21,https://statiz.sporki.com/player/?m=playerinfo&p_no=10071
전은석,Eun-Seok Jeon,1993-10-11,https://statiz.sporki.com/player/?m=playerinfo&p_no=10818
이효상,Hyo-Sang Lee,1990-01-22,https://statiz.sporki.com/player/?m=playerinfo&p_no=11067
이정훈,Jeong-Hun Lee,1991-04-27,https://statiz.sporki.com/player/?m=playerinfo&p_no=10065
이영수,Young-Soo Lee,1981-05-09,https://statiz.sporki.com/player/?m=playerinfo&p_no=10017
이상화,Sang-Hwa Lee,1980-09-15,https://statiz.sporki.com/player/?m=playerinfo&p_no=10064
윤민섭,Min-Seob Yoon,1990-09-30,https://statiz.sporki.com/player/?m=playerinfo&p_no=11076
유재혁,Jae-Hyeok Yu,1992-03-29,https://statiz.sporki.com/player/?m=playerinfo&p_no=10702
황정립,Jeong-Lip Hwang,1989-12-14,https://statiz.sporki.com/player/?m=playerinfo&p_no=10819
이현곤,Hyun-Gon Lee,1980-02-21,https://statiz.sporki.com/player/?m=playerinfo&p_no=10022
김형철,Hyeong-Cheol Kim,1980-05-26,https://statiz.sporki.com/player/?m=playerinfo&p_no=10010
손영민,Young-Min Son,1987-04-28,https://statiz.sporki.com/player/?m=playerinfo&p_no=10054
조태수,Tae-Su Cho,1983-05-29,https://statiz.sporki.com/player/?m=playerinfo&p_no=10074
조민철,Min-Chul Cho,1979-06-08,https://statiz.sporki.com/player/?m=playerinfo&p_no=2243
이재주,Jae-Ju Lee,1973-12-25,https://statiz.sporki.com/player/?m=playerinfo&p_no=10020
장문석,Mun-Seok Jang,1974-12-15,https://statiz.sporki.com/player/?m=playerinfo&p_no=10069
강철민,Cheol-Min Kang,1979-07-22,https://statiz.sporki.com/player/?m=playerinfo&p_no=10497
고영창,Young-Chang Ko,1989-02-24,https://statiz.sporki.com/player/?m=playerinfo&p_no=11068
김태훈,Tae-Hun Kim,1987-09-28,https://statiz.sporki.com/player/?m=playerinfo&p_no=10002
장정석,Jeong-Seok Jang,1973-04-12,https://statiz.sporki.com/player/?m=playerinfo&p_no=12966
김인철,In-Chul Kim,1971-07-14,https://statiz.sporki.com/player/?m=playerinfo&p_no=1547
오준형,Jun-Hyeong Oh,1984-07-21,https://statiz.sporki.com/player/?m=playerinfo&p_no=10059
장태성,Tae-Sung Jang,1986-12-15,https://statiz.sporki.com/player/?m=playerinfo&p_no=10023
문수호,Su-Ho Moon,1983-06-04,https://statiz.sporki.com/player/?m=playerinfo&p_no=10049
오두철,Du-Cheol Oh,1985-04-25,https://statiz.sporki.com/player/?m=playerinfo&p_no=11296
장준영,Jun-Young Jang ,1984-01-03,https://statiz.sporki.com/player/?m=playerinfo&p_no=11460
김영광,Young-Kwang Kim,1991-11-03,https://statiz.sporki.com/player/?m=playerinfo&p_no=11256
박찬,Chan Park,1990-08-08,https://statiz.sporki.com/player/?m=playerinfo&p_no=11074
방동민,Dong-Min Bang ,1977-01-20,https://statiz.sporki.com/player/?m=playerinfo&p_no=1933
류현철,Hyeon-Cheol Ryu,1991-05-08,https://statiz.sporki.com/player/?m=playerinfo&p_no=11258
신용운,Yong-Woon Shin,1983-09-08,https://statiz.sporki.com/player/?m=playerinfo&p_no=10055
로드리게스,Ricardo Rodriguez,1978-05-21,https://statiz.sporki.com/player/?m=playerinfo&p_no=10047
펨버튼,Rudy Hector Pemberton,1969-12-17,https://statiz.sporki.com/player/?m=playerinfo&p_no=2247
구톰슨,Rick Lee Guttormson,1977-01-11,https://statiz.sporki.com/player/?m=playerinfo&p_no=10044
박기철,Ki-Cheol Park,1991-08-19,https://statiz.sporki.com/player/?m=playerinfo&p_no=10699
현철민,Chul-Min Hyun,1987-04-23,https://statiz.sporki.com/player/?m=playerinfo&p_no=10802
윤효섭,Hyo-Seop Yoon,1990-10-24,https://statiz.sporki.com/player/?m=playerinfo&p_no=10034
키퍼,Mark Kiefer,1968-11-13,https://statiz.sporki.com/player/?m=playerinfo&p_no=2266
뉴선,Warren Newson,1964-07-03,https://statiz.sporki.com/player/?m=playerinfo&p_no=2231
이경원,Kyung-Won Lee,1977-06-23,https://statiz.sporki.com/player/?m=playerinfo&p_no=2057
양동일,Dong-Yil Yang,1985-04-08,https://statiz.sporki.com/player/?m=playerinfo&p_no=10057
김경탁,Kyeong-Tak Kim,1993-05-25,https://statiz.sporki.com/player/?m=playerinfo&p_no=10820
