name_eng_x,date_of_birth,url_x,name_new,name_kor,name_eng_y,url_y
Seung Ju Han,2001-03-17,https://www.baseball-reference.com/register/player.fcgi?id=han---002seu,seung joo han,한승주,Seung-Joo Han,https://statiz.sporki.com/player/?m=playerinfo&p_no=14621
Jun Seo Hwang,2005-08-22,https://www.baseball-reference.com/register/player.fcgi?id=hwang-002jun,jun seo hwang,황준서,Jun-seo Hwang,https://statiz.sporki.com/player/?m=playerinfo&p_no=16107
Young Mook Hwang,1999-10-16,https://www.baseball-reference.com/register/player.fcgi?id=hwang-000you,yeong mook hwang,황영묵,Young-mook Hwang,https://statiz.sporki.com/player/?m=playerinfo&p_no=16110
Jin Hyuk Jang,1993-09-30,https://www.baseball-reference.com/register/player.fcgi?id=chang-003jin,jin hyeok jang,장진혁,Jin-Hyuk Jang,https://statiz.sporki.com/player/?m=playerinfo&p_no=12583
Min Je Jang,1990-03-19,https://www.baseball-reference.com/register/player.fcgi?id=jang--001min,min jae jang,장민재,Min-Jae Jang,https://statiz.sporki.com/player/?m=playerinfo&p_no=10610
Hyun Sang Joo,1992-08-10,https://www.baseball-reference.com/register/player.fcgi?id=choo--000hye,hyeon sang joo,주현상,Hyun-Sang Ju,https://statiz.sporki.com/player/?m=playerinfo&p_no=11415
Eun Won Jung,2000-01-17,https://www.baseball-reference.com/register/player.fcgi?id=jung--000eun,eun won jeong,정은원,Eun-Won Jung,https://statiz.sporki.com/player/?m=playerinfo&p_no=13137
Do Been Kim,2001-01-15,https://www.baseball-reference.com/register/player.fcgi?id=kim---000dob,do bin kim,김도빈,Do-bin Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=16118
In-hwan Kim,1994-01-28,https://www.baseball-reference.com/register/player.fcgi?id=kim---006in-,in hwan kim,김인환,In-Hwan Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=12589
Kang Min Kim,1982-09-13,https://www.baseball-reference.com/register/player.fcgi?id=kim---000gan,kang min kim,김강민,Kang-Min Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=10108
Ki Joong Kim,2002-11-16,https://www.baseball-reference.com/register/player.fcgi?id=kim---000kij,ki joong kim,김기중,Ki-Joong Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=14808
Kyu Yeon Kim,2002-08-23,https://www.baseball-reference.com/register/player.fcgi?id=kim---007kyu,kyu yeon kim,김규연,Kyu-Yeon Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=14871
Min Woo Kim,1995-07-25,https://www.baseball-reference.com/register/player.fcgi?id=kim---018min,min woo kim,김민우,Min-Woo Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=11410
Seo Hyeon Kim,2004-05-31,https://www.baseball-reference.com/register/player.fcgi?id=kim---051seo,seo hyeon kim,김서현,Seo-Hyeon Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=15421
Seung Il Kim,2001-07-07,https://www.baseball-reference.com/register/player.fcgi?id=kim---008seu,seung il kim,김승일,Seung-il Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=14711
Tae Yean Kim,1997-06-10,https://www.baseball-reference.com/register/player.fcgi?id=kim---026tae,tae yeon kim,김태연,Tae-Yeon Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=12585
