name_eng,date_of_birth,url
Dong Ju Moon,2003-12-23,https://www.baseball-reference.com/register/player.fcgi?id=moon--002don
Hyun Bin Moon,2004-04-20,https://www.baseball-reference.com/register/player.fcgi?id=moon--000hyu
Ji Min Nam,2001-02-12,https://www.baseball-reference.com/register/player.fcgi?id=nam---000jim
Sang Un Park,1997-03-03,https://www.baseball-reference.com/register/player.fcgi?id=park--007san
Sang-won Park,1994-09-09,https://www.baseball-reference.com/register/player.fcgi?id=park--006san
Félix Peña,1990-02-25,https://www.baseball-reference.com/register/player.fcgi?id=pena--002fel
Yonathan Perlaza,1998-11-10,https://www.baseball-reference.com/register/player.fcgi?id=perlaz000yon
Si Hwan Roh,2000-12-03,https://www.baseball-reference.com/register/player.fcgi?id=noh---000si-
Hyun Jin Ryu,1987-03-25,https://www.baseball-reference.com/register/player.fcgi?id=ryu---000hye
Ricardo Sanchez,1997-04-11,https://www.baseball-reference.com/register/player.fcgi?id=sanche005ric
Ryan Weiss,1996-12-10,https://www.baseball-reference.com/register/player.fcgi?id=weiss-000rya
Jang Hyeok Yoo,2000-05-30,https://www.baseball-reference.com/register/player.fcgi?id=yoo---000jan
Dae Kyung Yun,1994-04-09,https://www.baseball-reference.com/register/player.fcgi?id=yoon--000dae
Cam Alldred,1996-07-25,https://www.baseball-reference.com/register/player.fcgi?id=alldre000cam
Sócrates Brito,1992-09-06,https://www.baseball-reference.com/register/player.fcgi?id=brito-001soc
Woo-hyuk Byun,2000-03-18,https://www.baseball-reference.com/register/player.fcgi?id=byun--000woo
Hyoung Woo Choi,1983-12-16,https://www.baseball-reference.com/register/player.fcgi?id=choi--000hyo
Jeong Yong Choi,1996-10-24,https://www.baseball-reference.com/register/player.fcgi?id=choi--004jeo
Ji Min Choi,2003-09-10,https://www.baseball-reference.com/register/player.fcgi?id=choi--000jim
Won Jun Choi,1997-03-23,https://www.baseball-reference.com/register/player.fcgi?id=choi--004won
Wil Crowe,1994-09-09,https://www.baseball-reference.com/register/player.fcgi?id=crowe-000wil
Joon-soon Han,1999-02-13,https://www.baseball-reference.com/register/player.fcgi?id=han---001joo
Seung Taek Han,1994-06-21,https://www.baseball-reference.com/register/player.fcgi?id=han---001seu
Jong Pyo Hong,2000-05-02,https://www.baseball-reference.com/register/player.fcgi?id=hong--000jon
Dae In Hwang,1996-02-10,https://www.baseball-reference.com/register/player.fcgi?id=hwang-001dae
Dong Ha Hwang,2002-07-30,https://www.baseball-reference.com/register/player.fcgi?id=hwang-001don
Gi Yeong Im,1993-04-16,https://www.baseball-reference.com/register/player.fcgi?id=lim---000ki-
Hyun Sik Jang,1995-02-24,https://www.baseball-reference.com/register/player.fcgi?id=jang--000hye
Jae Hyouk Jang,2001-08-02,https://www.baseball-reference.com/register/player.fcgi?id=jang--005jae
Sang Hyun Jeon,1996-04-18,https://www.baseball-reference.com/register/player.fcgi?id=jeon--001san
Hai Young Jung,2001-08-23,https://www.baseball-reference.com/register/player.fcgi?id=jung--000hai
Dae Yu Kim,1991-05-08,https://www.baseball-reference.com/register/player.fcgi?id=kim---003dae
Do Yeong Kim,2003-10-02,https://www.baseball-reference.com/register/player.fcgi?id=kim---001doy
Doo Hyun Kim,2003-04-25,https://www.baseball-reference.com/register/player.fcgi?id=kim---000doo
Ho Ryung Kim,1992-04-30,https://www.baseball-reference.com/register/player.fcgi?id=kim---003ho-
Hyeon Su Kim,2000-07-10,https://www.baseball-reference.com/register/player.fcgi?id=kim---001hyu
Jeong Bin Kim,1994-06-08,https://www.baseball-reference.com/register/player.fcgi?id=kim---000jeu
Keon Kuk Kim,1988-02-02,https://www.baseball-reference.com/register/player.fcgi?id=kim---016yon
Ki-hoon Kim,2000-01-03,https://www.baseball-reference.com/register/player.fcgi?id=kim---001ki-
Kyu Sung Kim,1997-03-08,https://www.baseball-reference.com/register/player.fcgi?id=kim---005kyu
Min Jae Kim,2003-07-08,https://www.baseball-reference.com/register/player.fcgi?id=kim---033min
Min Ju Kim,2002-09-08,https://www.baseball-reference.com/register/player.fcgi?id=kim---035min
Seung-hyun Kim,1992-07-09,https://www.baseball-reference.com/register/player.fcgi?id=kim---005seu
Sun Bin Kim,1989-12-18,https://www.baseball-reference.com/register/player.fcgi?id=kim---002seo
Tae-gun Kim,1989-12-30,https://www.baseball-reference.com/register/player.fcgi?id=kim---003tae
Yi Hwan Kim,2000-09-15,https://www.baseball-reference.com/register/player.fcgi?id=kim---000yih
Jong Wook Ko,1989-01-11,https://www.baseball-reference.com/register/player.fcgi?id=ko----000jon
Do Gyu Kwak,2004-04-12,https://www.baseball-reference.com/register/player.fcgi?id=kwak--000dog
Eric Lauer,1995-06-03,https://www.baseball-reference.com/register/player.fcgi?id=lauer-000eri
Chang Jin Lee,1991-03-04,https://www.baseball-reference.com/register/player.fcgi?id=lee---012cha
Eui Lee Lee,2002-06-16,https://www.baseball-reference.com/register/player.fcgi?id=lee---000eui
Hyeong Bum Lee,1994-02-27,https://www.baseball-reference.com/register/player.fcgi?id=lee---001hyu
Jun Young Lee,1992-08-10,https://www.baseball-reference.com/register/player.fcgi?id=lee---004joo
Woo Sung Lee,1994-07-17,https://www.baseball-reference.com/register/player.fcgi?id=lee---002woo
Sung Bum Na,1989-10-03,https://www.baseball-reference.com/register/player.fcgi?id=na----000sun
