Id,URL,Player,Age,Born,Position,BatThrow,HtWt,Career,Draft,Season,Team,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SF,SH,E,AVG,SLG,OBP,OPS
79113,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=79113,문선재,23,1990-05-20,OF,R/R,185cm/91kg,광주서림초-광주동성중-광주동성고-LG-상무-LG-KIA,09 LG 2차 7라운드 52순위,2013,LG,93,240,217,31,58,10,1,4,82,25,8,5,13,3,71,1,1,6,4,0.267,0.378,0.316,0.694
79113,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=79113,문선재,24,1990-05-20,OF,R/R,185cm/91kg,광주서림초-광주동성중-광주동성고-LG-상무-LG-KIA,09 LG 2차 7라운드 52순위,2014,LG,22,24,20,4,3,1,0,0,4,4,3,0,3,0,5,0,1,0,0,0.15,0.2,0.25,0.45
79113,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=79113,문선재,25,1990-05-20,OF,R/R,185cm/91kg,광주서림초-광주동성중-광주동성고-LG-상무-LG-KIA,09 LG 2차 7라운드 52순위,2015,LG,103,245,212,27,48,13,1,5,78,27,9,6,23,3,54,4,1,6,3,0.226,0.368,0.31,0.678
79113,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=79113,문선재,26,1990-05-20,OF,R/R,185cm/91kg,광주서림초-광주동성중-광주동성고-LG-상무-LG-KIA,09 LG 2차 7라운드 52순위,2016,LG,52,127,111,28,32,3,2,7,60,16,5,0,10,0,29,1,1,5,0,0.288,0.541,0.344,0.885
79113,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=79113,문선재,27,1990-05-20,OF,R/R,185cm/91kg,광주서림초-광주동성중-광주동성고-LG-상무-LG-KIA,09 LG 2차 7라운드 52순위,2017,LG,35,107,92,17,24,6,1,2,38,14,0,3,10,1,24,0,2,2,3,0.261,0.413,0.333,0.746
79113,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=79113,문선재,28,1990-05-20,OF,R/R,185cm/91kg,광주서림초-광주동성중-광주동성고-LG-상무-LG-KIA,09 LG 2차 7라운드 52순위,2018,LG,2,6,6,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0.167,0.167,0.167,0.334
79113,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=79113,문선재,29,1990-05-20,OF,R/R,185cm/91kg,광주서림초-광주동성중-광주동성고-LG-상무-LG-KIA,09 LG 2차 7라운드 52순위,2019,KIA,29,61,49,7,8,0,0,3,17,6,2,1,9,1,18,0,2,0,2,0.163,0.347,0.295,0.642
79113,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=79113,문선재,30,1990-05-20,OF,R/R,185cm/91kg,광주서림초-광주동성중-광주동성고-LG-상무-LG-KIA,09 LG 2차 7라운드 52순위,2020,KIA,15,6,6,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0.167,0.167,0.167,0.334
68119,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68119,문성주,21,1997-02-20,OF,L/L,175cm/78kg,포항서초-포항제철중-경북고-강릉영동대,18 LG 2차 10라운드 97순위,2018,LG,5,3,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.666
68119,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68119,문성주,24,1997-02-20,OF,L/L,175cm/78kg,포항서초-포항제철중-경북고-강릉영동대,18 LG 2차 10라운드 97순위,2021,LG,31,89,79,11,18,1,0,1,22,10,1,1,7,2,15,1,1,0,1,0.228,0.278,0.303,0.581
68119,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68119,문성주,25,1997-02-20,DH,L/L,175cm/78kg,포항서초-포항제철중-경북고-강릉영동대,18 LG 2차 10라운드 97순위,2022,LG,106,390,327,55,99,15,3,6,138,41,9,6,51,3,36,13,1,8,0,0.303,0.422,0.401,0.823
68119,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68119,문성주,26,1997-02-20,OF,L/L,175cm/78kg,포항서초-포항제철중-경북고-강릉영동대,18 LG 2차 10라운드 97순위,2023,LG,136,534,449,77,132,21,4,2,167,57,24,14,67,8,34,10,4,6,3,0.294,0.372,0.392,0.764
68119,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68119,문성주,27,1997-02-20,OF,L/L,175cm/78kg,포항서초-포항제철중-경북고-강릉영동대,18 LG 2차 10라운드 97순위,2024,LG,96,361,305,47,96,16,2,0,116,48,13,7,49,3,38,4,3,1,1,0.315,0.38,0.411,0.791
68119,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=68119,문성주,28,1997-02-20,OF,L/L,175cm/78kg,포항서초-포항제철중-경북고-강릉영동대,18 LG 2차 10라운드 97순위,2025,LG,135,542,475,57,145,20,2,3,178,70,4,3,54,4,59,10,8,1,1,0.305,0.375,0.375,0.75
89675,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=89675,문승훈,23,1966-03-14,1B,R/R,,영흥고-계명대,,1989,해태,58,117,100,14,28,1,1,2,37,15,1,0,13,2,17,3,1,1,1,0.28,0.37,0.371,0.741
89675,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=89675,문승훈,24,1966-03-14,1B,R/R,,영흥고-계명대,,1990,해태,26,34,26,2,4,1,0,1,8,3,0,0,8,0,10,0,0,0,1,0.154,0.308,0.353,0.661
89675,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=89675,문승훈,25,1966-03-14,1B,R/R,,영흥고-계명대,,1991,해태,24,31,29,3,2,1,0,1,6,1,0,0,2,0,6,0,0,0,1,0.069,0.207,0.129,0.336
89675,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=89675,문승훈,26,1966-03-14,1B,R/R,,영흥고-계명대,,1992,해태,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
61363,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=61363,문우람,20,1992-03-08,OF,L/R,175cm/80kg,화순초-광주동성중-광주동성고-넥센-상무,11 넥센 육성선수,2012,넥센,25,71,65,4,15,4,0,0,19,3,0,0,4,1,13,0,1,0,0,0.231,0.292,0.282,0.574
61363,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=61363,문우람,21,1992-03-08,OF,L/R,175cm/80kg,화순초-광주동성중-광주동성고-넥센-상무,11 넥센 육성선수,2013,넥센,69,291,256,41,78,19,0,4,109,28,2,2,25,4,43,1,2,4,2,0.305,0.426,0.373,0.799
61363,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=61363,문우람,22,1992-03-08,OF,L/R,175cm/80kg,화순초-광주동성중-광주동성고-넥센-상무,11 넥센 육성선수,2014,넥센,122,368,324,46,92,24,4,6,142,43,5,3,33,2,54,10,2,7,4,0.284,0.438,0.352,0.79
61363,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=61363,문우람,23,1992-03-08,OF,L/R,175cm/80kg,화순초-광주동성중-광주동성고-넥센-상무,11 넥센 육성선수,2015,넥센,63,138,119,22,28,10,0,2,44,22,1,1,12,3,30,1,3,1,1,0.235,0.37,0.314,0.684
98548,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=98548,문재성,24,1974-07-06,OF,R/R,,경성대,,1998,롯데,10,5,4,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0.0,0.2,0.2
52121,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52121,문정빈,22,2003-08-15,3B,R/R,186cm/90kg,가동초-잠신중-서울고,22 LG 2차 8라운드 77순위,2025,LG,21,33,30,5,5,0,0,2,11,4,0,0,1,2,11,0,0,0,0,0.167,0.367,0.242,0.609
