gameId,gameDate,homeTeam,awayTeam,homeScore,awayScore
20210605SKOB02021,20210605,OB,SK,8,5
20210605SSWO02021,20210605,WO,SS,6,2
20210606HHNC02021,20210606,NC,HH,10,13
20210606LGHT02021,20210606,HT,LG,0,10
20210606SKOB02021,20210606,OB,SK,1,4
20210606LTKT02021,20210606,KT,LT,7,8
20210606SSWO02021,20210606,WO,SS,1,3
20210608RDS1,20210608,,,0,0
20210608HTSS02021,20210608,SS,HT,7,0
20210608KTSK02021,20210608,SK,KT,2,4
20210608NCLG02021,20210608,LG,NC,2,1
20210608WOHH02021,20210608,HH,WO,4,2
20210608OBLT02021,20210608,LT,OB,18,9
20210609RDS1,20210609,,,0,0
20210609HTSS02021,20210609,SS,HT,5,7
20210609NCLG02021,20210609,LG,NC,6,3
20210609KTSK02021,20210609,SK,KT,3,7
20210609WOHH02021,20210609,HH,WO,2,6
20210609OBLT02021,20210609,LT,OB,8,14
20210610RDS1,20210610,,,0,0
20210610HTSS02021,20210610,SS,HT,4,2
20210610OBLT02021,20210610,LT,OB,5,4
20210610NCLG02021,20210610,LG,NC,0,6
20210610WOHH02021,20210610,HH,WO,1,0
20210611OBLG02021,20210611,LG,OB,3,1
20210611NCSS02021,20210611,SS,NC,4,5
20210611HHKT02021,20210611,KT,HH,6,5
20210611RDS1,20210611,,,0,0
20210611WOSK02021,20210611,SK,WO,8,6
20210612RDS1,20210612,,,0,0
20210612HHKT02021,20210612,KT,HH,7,2
20210612NCSS02021,20210612,SS,NC,4,1
20210612OBLG02021,20210612,LG,OB,3,8
20210612WOSK02021,20210612,SK,WO,5,4
20210613HTLT12021,20210613,LT,HT,8,6
20210613NCSS02021,20210613,SS,NC,5,3
20210613RDS2,20210613,,,0,0
20210613HHKT02021,20210613,KT,HH,6,3
20210613OBLG02021,20210613,LG,OB,2,0
20210613WOSK02021,20210613,SK,WO,3,7
20210613HTLT22021,20210613,LT,HT,3,6
20210614SBO1,20210614,,,0,0
20210614SBO2,20210614,,,0,0
20210615LGWO02021,20210615,WO,LG,2,4
20210615LTHH02021,20210615,HH,LT,3,2
20210615SSOB02021,20210615,OB,SS,6,8
20210616LTHH12021,20210616,HH,LT,9,4
20210616SKHT12021,20210616,HT,SK,1,10
20210616KTNC02021,20210616,NC,KT,3,7
20210616LGWO02021,20210616,WO,LG,6,3
20210616SKHT22021,20210616,HT,SK,2,0
20210616LTHH22021,20210616,HH,LT,4,3
20210616SSOB02021,20210616,OB,SS,3,5
20210617UBASEBALL1,20210617,,,0,0
20210617UBASEBALL2,20210617,,,0,0
20210617UBASEBALL3,20210617,,,0,0
20210617KTNC02021,20210617,NC,KT,9,1
20210617LGWO02021,20210617,WO,LG,5,6
20210617LTHH02021,20210617,HH,LT,2,9
20210617SSOB02021,20210617,OB,SS,6,2
20210618UBASEBALL2,20210618,,,0,0
20210617SKHT02021,20210617,HT,SK,3,6
20210618UBASEBALL1,20210618,,,0,0
20210617UBASEBALL4,20210618,,,0,0
20210618FU1,20210618,,,0,0
20210618UBASEBALL4,20210618,,,0,0
20210618UBASEBALL6,20210618,,,0,0
20210618UBASEBALL3,20210618,,,0,0
20210618HTLG02021,20210618,LG,HT,5,0
20210618OBKT02021,20210618,KT,OB,3,11
20210618SSLT02021,20210618,LT,SS,7,4
20210618SKHH02021,20210618,HH,SK,4,3
20210618WONC02021,20210618,NC,WO,5,0
20210618UBASEBALL5,20210618,,,0,0
20210618UBASEBALL7,20210618,,,0,0
20210619SKHH02021,20210619,HH,SK,5,7
20210619FU1,20210619,,,0,0
20210619OBKT12021,20210619,KT,OB,3,9
20210619HTLG02021,20210619,LG,HT,7,2
20210619SSLT02021,20210619,LT,SS,1,9
20210619OBKT22021,20210619,KT,OB,4,3
20210619WONC02021,20210619,NC,WO,7,12
20210619UBASEBALL1,20210619,,,0,0
20210620HTLG02021,20210620,LG,HT,6,0
20210620OBKT02021,20210620,KT,OB,4,1
20210620SSLT02021,20210620,LT,SS,8,7
20210620SKHH02021,20210620,HH,SK,3,4
20210620WONC02021,20210620,NC,WO,4,8
20210620UBASEBALL1,20210620,,,0,0
20210621UBASEBALL1,20210621,,,0,0
20210621SBO1,20210621,,,0,0
20210621UBASEBALL2,20210621,,,0,0
20210621SBO2,20210621,,,0,0
20210621UBASEBALL3,20210621,,,0,0
20210622UBASEBALL3,20210622,,,0,0
20210621UBASEBALL4,20210621,,,0,0
20210622UBASEBALL1,20210622,,,0,0
20210622UBASEBALL4,20210622,,,0,0
20210622HTKT02021,20210622,KT,HT,6,3
20210622RDS1,20210622,,,0,0
